name,link_id,osm_way_id,from_node_id,to_node_id,dir_flag,length,lanes,free_speed,capacity,link_type_name,link_type,geometry
Alameda Drive,0,5560524,0,1,,37.45876269807512,-1,-1,,residential,,"LINESTRING (-111.9050301 33.4011198, -111.9050216 33.4014566)"
Alameda Drive,1,5560524,1,0,,37.45876269807512,-1,-1,,residential,,"LINESTRING (-111.9050216 33.4014566, -111.9050301 33.4011198)"
South Los Feliz Drive,2,5587369,4,5,,108.58455300072912,-1,-1,,residential,,"LINESTRING (-111.9046885 33.4050408, -111.9046875 33.4046649, -111.9046862 33.4041793, -111.9046646 33.4040657)"
South Los Feliz Drive,3,5587369,5,4,,108.58455300072912,-1,-1,,residential,,"LINESTRING (-111.9046646 33.4040657, -111.9046862 33.4041793, -111.9046875 33.4046649, -111.9046885 33.4050408)"
South Los Feliz Drive,4,5587369,5,6,,102.32776437572208,-1,-1,,residential,,"LINESTRING (-111.9046646 33.4040657, -111.904517 33.4037131, -111.9044697 33.4036001, -111.9044157 33.403471, -111.9043213 33.4031916)"
South Los Feliz Drive,5,5587369,6,5,,102.32776437572208,-1,-1,,residential,,"LINESTRING (-111.9043213 33.4031916, -111.9044157 33.403471, -111.9044697 33.4036001, -111.904517 33.4037131, -111.9046646 33.4040657)"
South Los Feliz Drive,6,5587369,6,7,,79.66555751663596,-1,-1,,residential,,"LINESTRING (-111.9043213 33.4031916, -111.9042319 33.4029756, -111.9041973 33.4028494, -111.9041632 33.4027248, -111.9041239 33.4024965)"
South Los Feliz Drive,7,5587369,7,6,,79.66555751663596,-1,-1,,residential,,"LINESTRING (-111.9041239 33.4024965, -111.9041632 33.4027248, -111.9041973 33.4028494, -111.9042319 33.4029756, -111.9043213 33.4031916)"
South Los Feliz Drive,8,5587393,598,10,,14.166819319682649,1,-1,,unclassified,,"LINESTRING (-111.9041993 33.4075604, -111.9041962 33.4074987, -111.9041993 33.4074331)"
South Los Feliz Drive,9,5587393,10,598,,14.166819319682649,1,-1,,unclassified,,"LINESTRING (-111.9041993 33.4074331, -111.9041962 33.4074987, -111.9041993 33.4075604)"
South Perry Lane,10,5587972,819,13,,198.0245349903508,-1,-1,,unclassified,,"LINESTRING (-111.9047593 33.4291809, -111.9047573 33.4291112, -111.9047535 33.4287253, -111.9047485 33.4282122, -111.9047456 33.4279157, -111.9047405 33.4274001)"
South Perry Lane,11,5587972,13,819,,198.0245349903508,-1,-1,,unclassified,,"LINESTRING (-111.9047405 33.4274001, -111.9047456 33.4279157, -111.9047485 33.4282122, -111.9047535 33.4287253, -111.9047573 33.4291112, -111.9047593 33.4291809)"
South Perry Lane,12,5587972,14,596,,327.24391771846564,-1,-1,,unclassified,,"LINESTRING (-111.9047769 33.4249762, -111.9047732 33.4246873, -111.9047692 33.4244012, -111.9047642 33.4240503, -111.9047624 33.4239397, -111.9047623 33.4239149, -111.9047587 33.4236601, -111.904758 33.4235679, -111.9047583 33.4231854, -111.9047778 33.4230047, -111.9047779 33.4229548, -111.9047785 33.4227191, -111.9047823 33.4225953, -111.9047887 33.4223885, -111.9047821 33.4220342)"
South Perry Lane,13,5587972,596,14,,327.24391771846564,-1,-1,,unclassified,,"LINESTRING (-111.9047821 33.4220342, -111.9047887 33.4223885, -111.9047823 33.4225953, -111.9047785 33.4227191, -111.9047779 33.4229548, -111.9047778 33.4230047, -111.9047583 33.4231854, -111.904758 33.4235679, -111.9047587 33.4236601, -111.9047623 33.4239149, -111.9047624 33.4239397, -111.9047642 33.4240503, -111.9047692 33.4244012, -111.9047732 33.4246873, -111.9047769 33.4249762)"
East Verlea Circle,14,5589999,17,18,,48.921382105264136,-1,-1,,residential,,"LINESTRING (-111.9164752 33.4034487, -111.9165352 33.4038858)"
East Verlea Circle,15,5589999,18,17,,48.921382105264136,-1,-1,,residential,,"LINESTRING (-111.9165352 33.4038858, -111.9164752 33.4034487)"
East Penny Drive,16,5590087,20,458,,105.77051892161005,-1,-1,,residential,,"LINESTRING (-111.9097286 33.4010251, -111.9097712 33.4010385, -111.9098114 33.4010391, -111.9098489 33.401033, -111.9108188 33.4007819)"
