node_id,x_coord,y_coord
1,61.671,71.431
2,60.451,70.882
3,62.22,69.113
4,60.939,68.198
5,62.83,66.063
6,58.194,69.967
7,59.109,67.954
8,55.327,69.784
9,54.168,67.161
10,57.157,66.49
11,57.279,63.623
12,59.109,63.989
13,59.414,61.976
14,59.719,65.88
15,61.427,64.111
16,62.037,62.22
17,63.623,63.989
18,63.989,62.525
19,64.233,61.061
20,59.536,59.841
21,61.915,60.756
22,64.416,59.536
23,62.342,58.682
24,59.719,58.377
25,56.852,56.364
26,59.902,55.876
27,62.525,55.632
28,64.843,57.523
29,65.453,54.656
30,59.841,53.497
31,62.769,52.704
32,61.549,50.508
33,64.477,48.556
34,64.538,51.118
35,67.588,53.131
36,67.771,49.471
37,49.776,69.418
38,36.051,78.3849
39,43.31,79.727
40,40.26,79.727
41,43.31,76.799
42,40.321,76.799
43,49.227,79.6659
44,46.238,79.727
45,49.227,76.799
46,46.177,76.6769
47,55.083,79.727
48,52.155,79.727
49,55.022,76.799
50,52.155,76.799
51,57.584,79.5439
52,60.512,76.0669
53,58.011,76.6769
54,36.234,74.054
55,33.184,73.932
56,36.234,71.431
57,33.184,71.431
58,41.968,74.237
59,39.101,74.115
60,41.968,71.736
61,39.101,71.614
62,47.58,74.298
63,44.774,74.237
64,47.58,71.797
65,44.835,71.736
66,53.314,74.3589
67,50.447,74.3589
68,53.314,72.041
69,50.508,71.9799
70,59.353,74.298
71,56.242,74.42
72,59.231,72.407
73,56.303,72.407
74,61.244,74.3589
75,61.244,72.956
76,51.667,69.052
77,50.447,66.063
78,53.375,65.758
79,54.29,68.259
80,53.558,63.074
81,50.508,63.013
82,53.558,60.207
83,50.691,60.024
84,55.632,63.135
85,56.669,60.207
86,53.741,57.218
87,50.813,57.096
88,53.741,54.229
89,50.813,54.107
90,56.547,58.011
91,56.669,54.229
92,46.604,47.824
93,53.863,51.301
94,50.935,51.179
95,53.924,48.251
96,51.057,48.251
97,59.658,51.85
98,56.791,51.362
99,59.902,47.824
100,56.852,48.373
101,62.403,47.641
102,53.985,45.262
103,51.179,45.201
104,54.168,42.334
105,51.118,42.273
106,60.024,45.445
107,56.974,45.445
108,60.085,42.456
109,57.096,42.334
110,66.063,45.445
111,63.074,45.567
112,66.124,42.395
113,63.135,42.395
114,68.381,45.445
115,68.442,42.456
116,60.146,39.406
117,57.279,39.406
118,60.268,36.417
119,57.34,36.417
120,66.124,39.406
121,63.135,39.406
122,66.185,36.478
123,63.196,36.478
124,68.503,38.186
125,36.112,68.564
126,33.245,68.381
127,36.234,65.575
128,33.184,65.392
129,41.846,68.625
130,39.101,68.503
131,41.968,65.819
132,39.101,65.636
133,46.97,68.808
134,44.774,68.808
135,47.58,65.819
136,44.652,65.758
137,36.112,62.464
138,33.184,62.464
139,36.051,59.658
140,33.245,59.536
141,41.907,62.769
142,39.101,62.647
143,41.907,59.841
144,39.101,59.658
145,47.58,62.952
146,44.835,62.769
147,47.763,59.902
148,44.774,59.841
149,36.112,56.608
150,33.123,56.608
151,36.173,53.68
152,33.184,53.558
153,41.968,56.73
154,39.101,56.73
155,42.029,53.863
156,39.162,53.68
157,47.763,56.852
158,44.896,56.852
159,47.885,54.107
160,44.957,53.985
161,46.36,51.057
162,18.361,78.324
163,24.217,78.324
164,31.537,79.727
165,28.609,79.8489
166,31.598,76.8599
167,28.548,76.799
168,17.385,72.59
169,23.058,72.59
170,30.256,73.932
171,27.389,73.81
172,30.195,71.309
173,27.389,71.309
174,17.446,66.795
175,23.058,66.917
176,30.378,68.259
177,27.389,68.32
178,30.256,65.392
179,27.45,65.209
180,17.385,60.878
181,23.119,61.061
182,30.256,62.403
183,27.45,62.281
184,30.317,59.475
185,27.328,59.414
186,17.385,55.022
187,23.18,55.205
188,30.317,56.486
189,27.511,56.425
190,30.317,53.558
191,27.511,53.375
192,36.844,101.8699
193,43.188,103.0899
194,40.138,102.9679
195,43.249,100.4059
196,40.382,100.3449
197,47.763,101.8089
198,53.009,103.0289
199,52.948,100.3449
200,37.027,96.0749
201,43.31,97.3559
202,40.26,97.3559
203,43.31,94.5499
204,40.26,94.4889
205,49.349,97.2339
206,46.299,97.3559
207,49.227,94.4889
208,46.177,94.5499
209,53.009,97.4169
210,52.521,94.5499
211,36.905,90.1579
212,43.249,91.5609
213,40.321,91.5609
214,43.249,88.4499
215,40.321,88.6329
216,49.166,91.4999
217,46.238,91.4389
218,49.227,88.7549
219,46.177,88.5719
220,52.155,91.4999
221,52.521,88.4499
222,36.905,84.3019
223,43.188,85.6439
224,40.321,85.7049
225,43.31,82.7769
226,40.321,82.5939
227,49.288,85.6439
228,46.238,85.7049
229,49.227,82.8379
230,46.238,82.8379
231,52.887,85.5219
232,55.083,82.8379
233,52.155,82.6549
234,12.383,101.8089
235,18.3,101.7479
236,24.095,101.6259
237,30.073,101.6869
238,33.977,101.8699
239,12.383,96.0749
240,18.239,96.0749
241,24.095,96.0749
242,31.537,97.2949
243,28.609,97.3559
244,31.537,94.5499
245,28.609,94.4889
246,33.977,96.0749
247,12.444,90.2799
248,18.239,90.2189
249,24.156,90.1579
250,31.537,91.5609
251,28.487,91.4389
252,31.598,88.6329
253,28.548,88.3889
254,33.977,90.2799
255,12.383,84.4239
256,18.3,84.4239
257,24.156,84.4239
258,31.476,85.6439
259,28.609,85.5829
260,31.537,82.5939
261,28.548,82.5939
262,33.977,84.3019
263,36.173,50.691
264,33.245,50.691
265,36.173,47.702
266,33.306,47.702
267,42.151,50.935
268,39.101,50.752
269,42.212,47.885
270,39.284,47.824
271,36.295,44.774
272,33.428,44.591
273,36.295,41.785
274,33.55,41.785
275,42.334,44.957
276,39.345,44.896
277,42.334,42.029
278,39.406,41.907
279,48.129,45.201
280,45.262,45.14
281,48.19,42.151
282,45.262,42.029
283,36.539,38.857
284,33.611,38.735
285,36.6,35.99
286,33.611,35.868
287,42.395,39.101
288,39.467,38.857
289,42.517,36.051
290,39.589,36.051
291,48.251,39.284
292,45.445,39.162
293,48.373,36.295
294,45.445,36.234
295,54.229,39.345
296,51.301,39.345
297,54.412,36.417
298,51.301,36.417
299,35.319,31.659
300,41.114,31.903
301,47.153,31.964
302,53.131,32.025
303,58.987,32.147
304,66.185,33.489
305,63.318,33.55
306,66.246,30.683
307,63.257,30.683
308,68.564,32.269
309,35.502,25.803
310,41.297,25.986
311,47.275,26.169
312,53.192,26.352
313,59.17,26.413
314,64.904,26.413
315,68.564,26.535
316,35.624,19.886
317,41.541,20.069
318,17.385,48.8
319,22.997,49.349
320,28.975,49.044
321,17.507,42.761
322,23.302,43.188
323,29.28,43.005
324,17.629,36.905
325,23.485,36.966
326,29.402,37.149
327,17.751,31.049
328,23.546,31.049
329,29.341,31.476
330,18.117,25.193
331,23.912,24.827
332,29.585,25.742
333,18.056,19.032
334,23.912,19.093
335,29.768,19.52
336,18.056,13.115
337,23.851,13.237
338,29.89,13.42
339,47.458,19.947
340,53.68,19.947
341,59.414,19.947
342,66.002,20.252
343,35.807,13.603
344,41.663,13.725
345,47.458,11.346
346,51.85,14.579
347,59.536,14.152
348,66.124,14.457
349,35.319,6.466
350,41.602,6.832
351,52.033,10.309
352,56.242,8.845
353,49.227,5.612
354,59.841,5.856
355,66.246,7.381
356,71.6749,44.347
357,77.714,43.005
358,82.6549,40.504
359,72.346,35.441
360,80.0929,35.38
361,71.919,29.768
362,77.531,29.951
363,83.3259,29.951
364,72.224,20.862
365,76.921,21.045
366,82.1669,23.424
367,10.37,63.623
368,5.49,92.5369
369,8.906,107.5429
370,14.762,107.5429
371,20.557,107.5429
372,26.657,107.4819
373,32.635,107.4819
374,38.369,107.4819
375,44.347,107.5429
376,50.813,107.5429
377,47.275,117.3029
378,30.378,115.7169
379,0,87.0469
380,5.612,63.562
381,9.638,27.023
382,6.71,10.309
383,17.873,6.283
384,49.105,0
385,82.0449,12.81
386,88.9989,35.563
387,85.9489,42.883
388,18.361,80.6419
389,7.503,90.1579
390,7.32,85.4609
391,24.095,77.8969
392,28.243,76.006
393,30.805,75.152
394,33.916,75.091
395,36.173,75.152
396,39.528,75.03
397,41.48,74.9689
398,43.615,74.542
399,44.164,74.237
400,43.493,76.4939
401,44.713,79.727
402,44.042,81.0689
403,43.615,71.736
404,43.92,68.747
405,43.981,67.832
406,43.127,65.819
407,43.066,62.769
408,43.371,59.841
409,42.639,58.072
410,39.101,57.523
411,36.112,57.401
412,33.184,57.157
413,30.317,56.974
414,27.511,56.852
415,23.18,57.462
416,17.385,59.536
417,12.078,61.305
418,47.214,107.5429
419,46.787,102.0529
420,47.519,97.2949
421,48.495,94.4889
422,49.776,91.4999
423,49.654,88.6939
424,50.203,85.6439
425,51.118,82.7159
426,51.301,81.1909
427,52.155,80.7639
428,55.388,80.52
429,55.083,81.1299
430,54.839,81.6789
431,55.815,79.6659
432,57.157,76.738
433,57.218,74.3589
434,56.73,72.407
435,57.645,69.967
436,57.889,68.198
437,55.449,69.479
438,51.667,69.845
439,51.667,72.041
440,51.667,74.3589
441,51.606,76.799
442,51.362,6.466
443,53.07,10.004
444,52.704,14.518
445,52.765,19.947
446,55.083,26.352
447,57.523,32.147
448,58.194,36.417
449,58.194,39.406
450,58.194,41.236
451,58.804,42.395
452,60.024,43.981
453,54.229,40.382
454,45.445,37.881
455,42.456,37.637
456,39.528,37.576
457,36.539,36.478
458,35.136,35.746
459,33.855,35.258
460,29.341,33.001
461,23.668,29.28
462,17.934,28.426
463,23.973,10.736
464,27.206,13.359
465,31.842,19.642
466,35.502,24.4
467,35.38,30.134
468,35.624,38.796
469,36.539,41.846
470,36.844,44.774
471,39.65,47.824
472,42.151,49.776
473,43.188,50.935
474,43.249,53.924
475,45.872,52.094
476,47.214,52.826
477,50.02,54.717
478,49.593,56.974
479,49.166,59.963
480,48.983,61.122
481,47.702,61.305
482,47.214,61.305
483,47.763,60.207
484,50.569,61.976
485,53.558,62.037
486,49.105,63.013
487,46.665,65.819
488,44.713,67.222
489,55.998,62.037
490,56.974,61.976
491,59.353,62.281
492,61.976,62.525
493,62.952,62.342
494,62.098,64.05
495,60.268,65.88
496,58.621,67.588
497,63.074,60.939
498,63.257,60.39
499,62.098,59.902
500,59.658,58.987
501,56.608,57.706
502,53.741,56.303
503,50.813,54.717
504,50.813,54.351
505,53.802,53.131
506,55.083,51.301
507,57.584,48.739
508,61.366,42.761
509,63.135,42.09
510,66.124,42.151
511,66.368,42.151
512,68.442,42.151
513,71.858,41.846
514,76.738,41.602
515,80.7639,41.724
516,79.727,36.539
517,79.6659,29.951
518,80.9469,22.875
519,66.612,36.783
520,66.734,36.112
521,66.429,39.284
522,66.49,46.421
523,64.111,51.606
524,62.22,48.373
525,61.549,45.506
526,69.723,47.58
527,74.054,44.408
528,65.026,54.778
529,63.989,55.571
530,64.111,53.68
531,63.745,56.669
532,63.745,58.072
533,63.806,59.292
534,80.4589,43.188
535,49.044,63.257
536,50.264,71.065
537,47.58,72.285
538,42.212,56.73
539,44.774,59.475
540,50.264,69.296
541,69.357,47.336
542,74.115,43.798
543,77.714,44.286
544,80.7639,41.419
545,64.05,51.606
546,72.651,47.336
547,62.281,72.041
548,61.061,71.492
549,62.83,69.723
550,61.549,68.808
551,63.44,66.673
552,58.804,70.577
553,59.719,68.564
554,55.937,70.394
555,54.778,67.771
556,57.767,67.1
557,57.889,64.233
558,59.719,64.599
559,60.024,62.586
560,60.329,66.49
561,62.037,64.721
562,62.647,62.83
563,64.233,64.599
564,64.599,63.135
565,64.843,61.671
566,60.146,60.451
567,62.525,61.366
568,65.026,60.146
569,62.952,59.292
570,60.329,58.987
571,57.462,56.974
572,60.512,56.486
573,63.135,56.242
574,65.453,58.133
575,66.063,55.266
576,60.451,54.107
577,63.379,53.314
578,62.159,51.118
579,65.087,49.166
580,65.148,51.728
581,68.198,53.741
582,68.381,50.081
583,50.386,70.028
584,36.661,78.9949
585,43.92,80.3369
586,40.87,80.3369
587,43.92,77.409
588,40.931,77.409
589,49.837,80.2759
590,46.848,80.3369
591,49.837,77.409
592,46.787,77.2869
593,55.693,80.3369
594,52.765,80.3369
595,55.632,77.409
596,52.765,77.409
597,58.194,80.1539
598,61.122,76.6769
599,58.621,77.2869
600,36.844,74.6639
601,33.794,74.542
602,36.844,72.041
603,33.794,72.041
604,42.578,74.847
605,39.711,74.725
606,42.578,72.346
607,39.711,72.224
608,48.19,74.908
609,45.384,74.847
610,48.19,72.407
611,45.445,72.346
612,53.924,74.9689
613,51.057,74.9689
614,53.924,72.651
615,51.118,72.59
616,59.963,74.908
617,56.852,75.03
618,59.841,73.017
619,56.913,73.017
620,61.854,74.9689
621,61.854,73.5659
622,52.277,69.662
623,51.057,66.673
624,53.985,66.368
625,54.9,68.869
626,54.168,63.684
627,51.118,63.623
628,54.168,60.817
629,51.301,60.634
630,56.242,63.745
631,57.279,60.817
632,54.351,57.828
633,51.423,57.706
634,54.351,54.839
635,51.423,54.717
636,57.157,58.621
637,57.279,54.839
638,47.214,48.434
639,54.473,51.911
640,51.545,51.789
641,54.534,48.861
642,51.667,48.861
643,60.268,52.46
644,57.401,51.972
645,60.512,48.434
646,57.462,48.983
647,63.013,48.251
648,54.595,45.872
649,51.789,45.811
650,54.778,42.944
651,51.728,42.883
652,60.634,46.055
653,57.584,46.055
654,60.695,43.066
655,57.706,42.944
656,66.673,46.055
657,63.684,46.177
658,66.734,43.005
659,63.745,43.005
660,68.991,46.055
661,69.052,43.066
662,60.756,40.016
663,57.889,40.016
664,60.878,37.027
665,57.95,37.027
666,66.734,40.016
667,63.745,40.016
668,66.795,37.088
669,63.806,37.088
670,69.113,38.796
671,36.722,69.174
672,33.855,68.991
673,36.844,66.185
674,33.794,66.002
675,42.456,69.235
676,39.711,69.113
677,42.578,66.429
678,39.711,66.246
679,47.58,69.418
680,45.384,69.418
681,48.19,66.429
682,45.262,66.368
683,36.722,63.074
684,33.794,63.074
685,36.661,60.268
686,33.855,60.146
687,42.517,63.379
688,39.711,63.257
689,42.517,60.451
690,39.711,60.268
691,48.19,63.562
692,45.445,63.379
693,48.373,60.512
694,45.384,60.451
695,36.722,57.218
696,33.733,57.218
697,36.783,54.29
698,33.794,54.168
699,42.578,57.34
700,39.711,57.34
701,42.639,54.473
702,39.772,54.29
703,48.373,57.462
704,45.506,57.462
705,48.495,54.717
706,45.567,54.595
707,46.97,51.667
708,18.971,78.934
709,24.827,78.934
710,32.147,80.3369
711,29.219,80.4589
712,32.208,77.4699
713,29.158,77.409
714,17.995,73.2
715,23.668,73.2
716,30.866,74.542
717,27.999,74.42
718,30.805,71.919
719,27.999,71.919
720,18.056,67.405
721,23.668,67.527
722,30.988,68.869
723,27.999,68.93
724,30.866,66.002
725,28.06,65.819
726,17.995,61.488
727,23.729,61.671
728,30.866,63.013
729,28.06,62.891
730,30.927,60.085
731,27.938,60.024
732,17.995,55.632
733,23.79,55.815
734,30.927,57.096
735,28.121,57.035
736,30.927,54.168
737,28.121,53.985
738,37.454,102.4799
739,43.798,103.6999
740,40.748,103.5779
741,43.859,101.0159
742,40.992,100.9549
743,48.373,102.4189
744,53.619,103.6389
745,53.558,100.9549
746,37.637,96.6849
747,43.92,97.9659
748,40.87,97.9659
749,43.92,95.1599
750,40.87,95.0989
751,49.959,97.8439
752,46.909,97.9659
753,49.837,95.0989
754,46.787,95.1599
755,53.619,98.0269
756,53.131,95.1599
757,37.515,90.7679
758,43.859,92.1709
759,40.931,92.1709
760,43.859,89.0599
761,40.931,89.2429
762,49.776,92.1099
763,46.848,92.0489
764,49.837,89.3649
765,46.787,89.1819
766,52.765,92.1099
767,53.131,89.0599
768,37.515,84.9119
769,43.798,86.2539
770,40.931,86.3149
771,43.92,83.3869
772,40.931,83.2039
773,49.898,86.2539
774,46.848,86.3149
775,49.837,83.4479
776,46.848,83.4479
777,53.497,86.1319
778,55.693,83.4479
779,52.765,83.2649
780,12.993,102.4189
781,18.91,102.3579
782,24.705,102.2359
783,30.683,102.2969
784,34.587,102.4799
785,12.993,96.6849
786,18.849,96.6849
787,24.705,96.6849
788,32.147,97.9049
789,29.219,97.9659
790,32.147,95.1599
791,29.219,95.0989
792,34.587,96.6849
793,13.054,90.8899
794,18.849,90.8289
795,24.766,90.7679
796,32.147,92.1709
797,29.097,92.0489
798,32.208,89.2429
799,29.158,88.9989
800,34.587,90.8899
801,12.993,85.0339
802,18.91,85.0339
803,24.766,85.0339
804,32.086,86.2539
805,29.219,86.1929
806,32.147,83.2039
807,29.158,83.2039
808,34.587,84.9119
809,36.783,51.301
810,33.855,51.301
811,36.783,48.312
812,33.916,48.312
813,42.761,51.545
814,39.711,51.362
815,42.822,48.495
816,39.894,48.434
817,36.905,45.384
818,34.038,45.201
819,36.905,42.395
820,34.16,42.395
821,42.944,45.567
822,39.955,45.506
823,42.944,42.639
824,40.016,42.517
