road_link_id,from_node_id,to_node_id
0,38,584
1,39,585
2,40,586
3,41,587
4,42,588
5,54,600
6,55,601
7,56,602
8,57,603
9,58,604
10,59,605
11,60,606
12,61,607
13,125,671
14,126,672
15,127,673
16,128,674
17,129,675
18,130,676
19,131,677
20,132,678
21,137,683
22,138,684
23,139,685
24,140,686
25,141,687
26,142,688
27,143,689
28,144,690
29,162,708
30,163,709
31,164,710
32,165,711
33,166,712
34,167,713
35,168,714
36,169,715
37,170,716
38,171,717
39,172,718
40,173,719
41,174,720
42,175,721
43,176,722
44,177,723
45,178,724
46,179,725
47,180,726
48,181,727
49,182,728
50,183,729
51,184,730
52,185,731
53,192,738
54,193,739
55,194,740
56,195,741
57,196,742
58,200,746
59,201,747
60,202,748
61,203,749
62,204,750
63,211,757
64,212,758
65,213,759
66,214,760
67,215,761
68,222,768
69,223,769
70,224,770
71,225,771
72,226,772
73,234,780
74,235,781
75,236,782
76,237,783
77,238,784
78,239,785
79,240,786
80,241,787
81,242,788
82,243,789
83,244,790
84,245,791
85,246,792
86,247,793
87,248,794
88,249,795
89,250,796
90,251,797
91,252,798
92,253,799
93,254,800
94,255,801
95,256,802
96,257,803
97,258,804
98,259,805
99,260,806
100,261,807
101,262,808
102,367,913
103,368,914
104,369,915
105,370,916
106,371,917
107,372,918
108,373,919
109,374,920
110,378,924
111,379,925
112,380,926
113,388,390
114,388,391
115,388,708
116,388,802
117,389,390
118,389,801
119,389,914
120,390,388
121,390,389
122,390,925
123,391,388
124,391,392
125,391,709
126,391,715
127,392,391
128,392,393
129,392,713
130,392,717
131,393,392
132,393,394
133,393,712
134,393,716
135,394,393
136,394,395
137,394,584
138,394,601
139,395,394
140,395,396
141,395,584
142,395,600
143,396,395
144,396,397
145,397,396
146,397,398
147,397,588
148,397,604
149,398,397
150,398,399
151,398,400
152,398,403
153,399,398
154,399,604
155,400,398
156,400,401
157,400,587
158,401,400
159,401,402
160,401,585
161,402,401
162,403,398
163,403,404
164,403,606
165,404,403
166,404,405
167,404,675
168,405,404
169,405,406
170,405,488
171,406,405
172,406,407
173,406,677
174,407,406
175,407,408
176,407,687
177,408,407
178,408,689
179,416,417
180,416,726
181,417,416
182,417,913
183,417,926
184,488,405
185,584,38
186,584,394
187,584,395
188,584,586
189,584,588
190,584,605
191,584,710
192,584,712
193,584,768
194,584,808
195,585,39
196,585,401
197,585,586
198,585,587
199,585,771
200,586,40
201,586,584
202,586,585
203,586,588
204,586,772
205,587,41
206,587,400
207,587,585
208,587,588
209,587,604
210,588,42
211,588,397
212,588,584
213,588,586
214,588,587
215,600,54
216,600,395
217,600,601
218,600,602
219,600,605
220,601,55
221,601,394
222,601,600
223,601,603
224,601,716
225,602,56
226,602,600
227,602,603
228,602,607
229,602,671
230,603,57
231,603,601
232,603,602
233,603,672
