road_link_id,from_node_id,to_node_id
1,1,25463
1,25463,1
2,2,25461
2,25461,2
3,3,21076
4,4,21105
4,21105,4
5,5,21106
5,21106,5
6,6,21175
7,7,3733
7,3733,7
8,8,9227
8,9227,8
9,9,3343
9,3343,9
10,10,3345
10,3345,10
11,11,10294
12,101,21120
12,21120,101
13,102,25379
13,25379,102
14,103,21135
14,21135,103
15,104,25331
15,25331,104
16,105,25035
16,25035,105
17,106,25401
17,25401,106
18,107,25046
18,25046,107
19,108,21105
19,21105,108
20,108,21106
20,21106,108
21,109,21041
21,21041,109
22,110,21144
22,21144,110
23,111,9557
23,9557,111
24,112,25176
24,25176,112
25,113,25176
25,25176,113
26,114,25268
26,25268,114
27,115,25363
27,25363,115
28,116,25252
28,25252,116
29,117,25362
29,25362,117
30,118,22403
30,22403,118
31,119,21137
31,21137,119
32,120,21136
32,21136,120
33,121,22380
33,22380,121
34,122,21098
34,21098,122
35,122,21099
35,21099,122
36,123,21046
36,21046,123
37,123,21047
37,21047,123
38,124,22382
38,22382,124
39,125,22383
39,22383,125
40,126,7514
40,7514,126
41,126,22384
41,22384,126
42,127,22385
42,22385,127
43,127,22387
43,22387,127
44,127,25477
44,25477,127
45,127,25478
45,25478,127
46,128,9605
46,9605,128
47,129,21138
47,21138,129
48,129,22383
48,22383,129
49,130,9229
49,9229,130
50,130,9608
50,9608,130
51,130,21139
51,21139,130
52,130,22388
52,22388,130
53,131,22389
53,22389,131
54,131,22390
54,22390,131
55,131,22391
55,22391,131
56,131,22392
56,22392,131
57,132,22392
57,22392,132
58,132,22393
58,22393,132
59,132,25479
59,25479,132
60,132,25480
60,25480,132
61,133,8321
61,8321,133
62,134,9611
62,9611,134
63,134,22388
63,22388,134
64,134,22396
64,22396,134
65,134,22397
65,22397,134
66,135,22399
66,22399,135
67,136,21138
67,21138,136
68,136,22403
68,22403,136
69,137,22395
69,22395,137
70,138,9254
70,9254,138
71,139,22405
71,22405,139
72,140,9615
72,9615,140
73,140,22407
73,22407,140
74,140,22408
74,22408,140
75,140,22409
75,22409,140
76,141,22411
76,22411,141
77,142,9513
77,9513,142
78,143,21115
78,21115,143
79,144,25456
79,25456,144
80,145,9286
80,9286,145
81,145,9620
81,9620,145
82,146,21091
82,21091,146
83,147,11243
83,11243,147
84,148,21092
84,21092,148
85,149,9529
85,9529,149
86,150,9530
86,9530,150
87,150,9532
87,9532,150
88,151,9544
88,9544,151
89,152,9550
89,9550,152
90,152,21183
90,21183,152
91,152,22422
91,22422,152
92,152,22423
92,22423,152
93,153,22700
93,22700,153
94,154,22424
94,22424,154
95,155,21183
95,21183,155
96,156,9518
96,9518,156
97,157,21145
97,21145,157
98,158,25088
98,25088,158
99,159,25088
99,25088,159
100,160,3166
100,3166,160
101,161,25092
101,25092,161
102,162,25552
102,25552,162
103,163,22432
103,22432,163
104,164,25017
104,25017,164
105,164,30038
105,30038,164
106,165,3272
106,3272,165
107,166,26713
107,26713,166
108,167,9171
108,9171,167
109,167,9172
109,9172,167
110,167,10029
110,10029,167
111,167,25512
111,25512,167
112,168,26714
112,26714,168
113,169,3492
113,3492,169
114,169,3620
114,3620,169
115,170,10824
115,10824,170
116,171,3626
116,3626,171
117,171,10824
117,10824,171
118,172,3557
118,3557,172
119,172,3629
119,3629,172
120,173,9171
120,9171,173
121,173,10075
121,10075,173
122,173,22440
122,22440,173
123,174,10850
123,10850,174
124,174,10851
124,10851,174
125,175,10075
125,10075,175
126,175,10850
126,10850,175
127,175,22442
127,22442,175
128,176,3967
128,3967,176
129,176,22442
129,22442,176
130,176,22443
130,22443,176
131,176,22444
131,22444,176
132,177,4112
132,4112,177
133,177,10867
133,10867,177
134,177,22444
134,22444,177
135,177,22445
135,22445,177
136,178,3620
136,3620,178
137,178,3708
137,3708,178
138,178,9177
138,9177,178
139,179,3832
139,3832,179
140,179,9177
140,9177,179
141,179,22447
141,22447,179
142,180,3971
142,3971,180
143,180,3974
143,3974,180
144,180,22447
144,22447,180
145,180,22448
145,22448,180
146,181,4116
146,4116,181
147,181,4117
147,4117,181
148,181,22448
148,22448,181
149,181,22449
149,22449,181
150,182,3625
150,3625,182
151,182,3708
151,3708,182
152,182,25518
152,25518,182
153,182,30051
153,30051,182
154,183,3832
154,3832,183
155,183,25515
155,25515,183
156,183,30051
156,30051,183
157,183,30063
157,30063,183
158,184,4117
158,4117,184
159,184,25520
159,25520,184
160,184,25521
160,25521,184
161,185,3714
161,3714,185
162,185,9133
162,9133,185
163,185,9134
163,9134,185
164,185,10842
164,10842,185
165,186,3837
165,3837,186
166,186,3839
166,3839,186
167,186,3908
167,3908,186
168,186,10842
168,10842,186
169,187,3908
169,3908,187
170,187,3978
170,3978,187
171,187,3981
171,3981,187
172,187,10854
172,10854,187
173,188,4122
173,4122,188
174,188,4124
174,4124,188
175,188,10854
175,10854,188
176,188,10864
176,10864,188
177,189,9170
177,9170,189
178,190,3628
178,3628,190
179,190,3690
179,3690,190
180,190,22450
180,22450,190
181,191,11908
181,11908,191
182,192,3299
182,3299,192
183,192,11907
183,11907,192
184,193,3300
184,3300,193
185,193,11798
185,11798,193
186,194,10814
186,10814,194
187,194,11906
187,11906,194
188,194,11909
188,11909,194
189,195,3398
189,3398,195
190,195,3444
190,3444,195
191,195,11036
191,11036,195
192,196,3444
192,3444,196
193,196,3445
193,3445,196
194,196,3518
194,3518,196
195,197,3312
195,3312,197
196,197,3399
196,3399,197
197,197,3445
197,3445,197
198,198,3299
198,3299,198
199,198,22645
199,22645,198
200,199,3518
200,3518,199
201,199,10834
201,10834,199
202,200,5292
202,5292,200
203,200,9204
203,9204,200
204,200,10906
204,10906,200
205,200,10907
205,10907,200
206,201,5292
206,5292,201
207,201,10291
207,10291,201
208,201,10292
208,10292,201
209,201,10331
209,10331,201
210,202,22456
210,22456,202
211,203,5161
211,5161,203
212,203,9204
212,9204,203
213,203,22457
213,22457,203
214,203,22458
214,22458,203
215,204,5441
215,5441,204
216,204,5593
216,5593,204
217,204,10292
217,10292,204
218,204,22457
218,22457,204
219,205,22456
219,22456,205
220,206,5170
220,5170,206
221,206,22459
221,22459,206
222,206,22460
222,22460,206
223,207,5452
223,5452,207
224,207,22460
224,22460,207
225,208,5727
225,5727,208
226,208,5880
226,5880,208
227,209,5044
227,5044,209
228,209,5170
228,5170,209
229,209,5174
229,5174,209
230,209,5310
230,5310,209
231,210,5452
231,5452,210
232,210,9209
232,9209,210
233,211,5727
233,5727,211
234,211,5885
234,5885,211
235,211,10918
235,10918,211
236,212,5174
236,5174,212
237,212,5313
237,5313,212
238,212,10908
238,10908,212
239,212,10909
239,10909,212
240,213,5313
240,5313,213
241,213,5457
241,5457,213
242,213,9210
242,9210,213
243,214,5899
243,5899,214
244,214,10918
244,10918,214
245,214,25563
245,25563,214
246,214,25564
246,25564,214
247,215,5457
247,5457,215
248,215,5511
248,5511,215
249,215,22461
249,22461,215
250,216,5742
250,5742,216
251,216,5903
251,5903,216
252,216,10361
252,10361,216
253,217,5614
253,5614,217
254,217,5742
254,5742,217
255,217,5745
255,5745,217
256,217,5909
256,5909,217
257,218,6238
257,6238,218
258,218,10930
258,10930,218
259,219,6260
259,6260,219
260,219,10930
260,10930,219
261,220,6835
261,6835,220
262,220,9221
262,9221,220
263,220,9420
263,9420,220
264,220,10944
264,10944,220
265,221,9233
265,9233,221
266,221,9234
266,9234,221
267,221,9235
267,9235,221
268,221,11054
268,11054,221
269,222,7687
269,7687,222
270,222,10977
270,10977,222
271,222,10978
271,10978,222
272,223,6260
272,6260,223
273,223,10932
273,10932,223
274,223,10933
274,10933,223
275,224,6273
275,6273,224
276,224,10933
276,10933,224
277,224,10934
277,10934,224
278,225,6672
278,6672,225
279,225,9222
279,9222,225
280,225,10934
280,10934,225
281,225,10945
281,10945,225
282,226,6849
282,6849,226
283,226,9235
283,9235,226
284,226,9236
284,9236,226
285,226,10958
285,10958,226
286,227,6273
286,6273,227
287,227,6447
287,6447,227
288,227,10416
288,10416,227
289,228,6447
289,6447,228
290,228,6672
290,6672,228
291,228,6855
291,6855,228
292,228,10456
292,10456,228
293,229,6855
293,6855,229
294,229,10511
294,10511,229
295,229,22463
295,22463,229
296,230,6289
296,6289,230
297,230,6452
297,6452,230
298,230,10416
298,10416,230
299,231,6452
299,6452,231
300,231,6685
300,6685,231
301,231,6861
301,6861,231
302,231,10456
302,10456,231
303,232,6937
303,6937,232
304,233,6289
304,6289,233
305,233,6297
305,6297,233
306,233,6454
306,6454,233
307,234,6458
307,6458,234
308,234,6685
308,6685,234
309,234,6866
309,6866,234
310,235,6866
310,6866,235
311,235,6937
311,6937,235
312,235,7072
312,7072,235
313,236,22467
313,22467,236
314,237,9628
314,9628,237
315,237,11192
315,11192,237
316,238,8253
316,8253,238
317,239,11147
317,11147,239
318,240,3780
318,3780,240
319,240,3830
319,3830,240
320,240,3839
320,3839,240
321,240,3912
321,3912,240
322,241,3912
322,3912,241
323,241,4048
323,4048,241
324,241,10855
324,10855,241
325,242,10845
325,10845,242
326,242,10938
326,10938,242
327,243,3913
327,3913,243
328,243,10857
328,10857,243
329,244,10865
329,10865,244
330,245,4301
330,4301,245
331,245,4308
331,4308,245
332,245,4396
332,4396,245
333,245,10856
333,10856,245
334,246,4396
334,4396,246
335,246,4459
335,4459,246
336,246,4464
336,4464,246
337,246,4540
337,4540,246
338,247,4403
338,4403,247
339,247,4464
339,4464,247
340,247,4546
340,4546,247
341,248,3919
341,3919,248
342,248,4062
342,4062,248
343,248,21204
343,21204,248
344,249,1748
344,1748,249
345,249,3569
345,3569,249
346,249,3644
346,3644,249
347,249,9169
347,9169,249
348,250,3798
348,3798,250
349,250,3894
349,3894,250
350,251,4062
350,4062,251
351,251,4066
351,4066,251
352,251,21206
352,21206,251
353,252,4307
353,4307,252
354,252,4402
354,4402,252
355,253,4302
355,4302,253
356,253,4307
356,4307,253
357,253,21206
357,21206,253
358,253,21207
358,21207,253
359,254,3509
359,3509,254
360,254,3565
360,3565,254
361,254,3646
361,3646,254
362,254,11123
362,11123,254
363,255,3646
363,3646,255
364,255,3711
364,3711,255
365,255,3720
365,3720,255
366,256,3798
366,3798,256
367,256,3840
367,3840,256
368,256,3901
368,3901,256
369,257,4065
369,4065,257
370,257,4066
370,4066,257
371,258,4222
371,4222,258
372,258,4302
372,4302,258
373,258,4304
373,4304,258
374,258,4399
374,4399,258
375,259,3500
375,3500,259
376,259,3564
376,3564,259
377,259,3565
377,3565,259
378,259,10048
378,10048,259
379,260,3787
379,3787,260
380,260,9174
380,9174,260
381,260,10048
381,10048,260
382,260,21202
382,21202,260
383,261,5047
383,5047,261
384,261,5178
384,5178,261
385,261,5316
385,5316,261
386,261,10908
386,10908,261
387,262,5051
387,5051,262
388,262,5178
388,5178,262
389,262,5182
389,5182,262
390,262,5331
390,5331,262
391,263,5057
391,5057,263
392,263,5182
392,5182,263
393,263,5185
393,5185,263
394,263,5321
394,5321,263
395,264,5331
395,5331,264
396,264,5463
396,5463,264
397,264,5511
397,5511,264
398,264,5614
398,5614,264
399,265,6453
399,6453,265
400,265,6687
400,6687,265
401,265,6868
401,6868,265
402,266,5321
402,5321,266
403,266,5463
403,5463,266
404,266,5617
404,5617,266
405,267,5617
405,5617,267
406,267,5745
406,5745,267
407,267,5915
407,5915,267
408,268,6297
408,6297,268
409,268,6465
409,6465,268
410,269,6465
410,6465,269
411,269,6687
411,6687,269
412,269,6871
412,6871,269
413,270,5324
