name,link_id,osm_way_id,from_node_id,to_node_id,dir_flag,length,lanes,free_speed,capacity,link_type_name,link_type,geometry,allowed_uses,from_biway
,0,25057123,3,1,,731.1042839829727,,,,railway,30,"LINESTRING (116.3480197 39.9416053, 116.347749 39.9423702, 116.3474344 39.943259, 116.34681 39.945023, 116.3466349 39.9456531, 116.346487 39.9464129, 116.3463166 39.9473855, 116.3462236 39.9480214)",,0
北京地铁2号线,1,42501957,116,43,,546.8576070874522,,,,railway,30,"LINESTRING (116.3582 39.94478068950893, 116.3580321 39.9447284, 116.3568121 39.9443931, 116.3541938 39.9436893, 116.3521609 39.943123)",,0
北京地铁2号线,2,42501957,43,117,,400.3366927332824,,,,railway,30,"LINESTRING (116.3521609 39.943123, 116.3514984 39.9429208, 116.3510816 39.9427936, 116.3507667 39.9426613, 116.3504756 39.9424964, 116.3502461 39.9423216, 116.3499715 39.9420874, 116.3497443 39.9418506, 116.3495497 39.941577, 116.3494408 39.9411975, 116.3493747 39.9406263, 116.3493735093148 39.9406)",,0
,3,93716293,8,7,,22.736187807619448,,,,railway,30,"LINESTRING (116.3462506 39.9424387, 116.3462911 39.9422366)",,0
,4,93716300,6,5,,21.148210632181712,,,,railway,30,"LINESTRING (116.3462093 39.9424207, 116.3463313 39.9422551)",,0
13号线,5,93716304,118,4,,268.80761399184826,,,,railway,30,"LINESTRING (116.3470840884089 39.9406, 116.3465172 39.9420588, 116.346379 39.942351, 116.3462591 39.942564, 116.3460778 39.9428879)",,0
,6,93847471,10,9,,22.713637326922345,,,,railway,30,"LINESTRING (116.3458438 39.9433506, 116.3459627 39.9431678)",,0
,10,109369052,25,27,,800.4401650538928,,,,railway,30,"LINESTRING (116.3475756 39.9415052, 116.3472957 39.9422905, 116.3469902 39.943147, 116.3464699 39.9446078, 116.3463671 39.9449332, 116.3462666 39.9452741, 116.3461794 39.9455893, 116.3461258 39.9458685, 116.3460856 39.9461118, 116.3460521 39.9463618, 116.3460297 39.9466154, 116.3460218 39.9469711, 116.3460145 39.9473511, 116.3460245 39.9475592, 116.3460348 39.9480181, 116.3460224 39.9482389, 116.3459924 39.9485568)",,0
,11,109369052,27,60,,53.587810709505185,,,,railway,30,"LINESTRING (116.3459924 39.9485568, 116.3459055 39.9490341)",,0
京张高铁,12,109369053,28,20,,825.666548233114,,120.0,,railway,30,"LINESTRING (116.3475112 39.941488, 116.3469117 39.943111, 116.3465811 39.9441249, 116.3464013 39.9446217, 116.3462797 39.9449986, 116.3461312 39.9454579, 116.3460483 39.9459044, 116.3459962 39.9462797, 116.3459815 39.9466127, 116.3459679 39.9469691, 116.3459563 39.9473372, 116.3459707 39.9481932, 116.3459484 39.9484877, 116.3459245 39.9487661)",,0
10站台,13,109369062,36,26,,475.56592274534165,,,,railway,30,"LINESTRING (116.3466909 39.9424253, 116.3459609 39.9444288, 116.3457848 39.9449339, 116.3456794 39.945298, 116.3456324 39.945526, 116.3455859 39.9458262, 116.3455573 39.9461158, 116.3455548 39.9465931)",,0
,14,109369072,24,0,,800.4525075104001,,,,railway,30,"LINESTRING (116.3478455 39.941566, 116.347573 39.9423364, 116.347262 39.9432155, 116.346665 39.9449029, 116.346569 39.9451739, 116.3464861 39.9454717, 116.346425 39.9457192, 116.3463857 39.9458932, 116.3463464 39.9461341, 116.3463246 39.9463281, 116.3463115 39.9465121, 116.3462921 39.9467158, 116.3462722 39.9469571, 116.346246 39.9471645, 116.3461997 39.9473816, 116.346186 39.9475763, 116.3461551 39.9479229, 116.3461013 39.9486105)",,0
京张高铁,15,109369075,23,99,,759.9199521906169,,120.0,,railway,30,"LINESTRING (116.3473656 39.9414749, 116.3471641 39.9420518, 116.3467824 39.9430908, 116.3464957 39.943885, 116.3463815 39.944212, 116.3462253 39.944638, 116.3461476 39.9448992, 116.3460613 39.945217, 116.3459871 39.9455491, 116.3458958 39.9460465, 116.3458734 39.9462411, 116.3458482 39.9464572, 116.3458278 39.9467824, 116.3458261 39.9470221, 116.345826 39.9473199, 116.3458349 39.9481651)",,0
京张高铁,16,109369075,99,97,,53.49636444027502,,120.0,,railway,30,"LINESTRING (116.3458349 39.9481651, 116.3458515 39.9484947, 116.345846 39.9486459)",,0
,18,109369081,22,27,,797.3896647941527,,,,railway,30,"LINESTRING (116.3477657 39.9415467, 116.3475514 39.9421555, 116.3471669 39.9431847, 116.3467148 39.9444441, 116.3466143 39.9447419, 116.3465035 39.9450451, 116.3464194 39.94527, 116.3463581 39.9455252, 116.3462752 39.945905, 116.3462498 39.9461208, 116.346233 39.946376, 116.3462084 39.94667, 116.3461614 39.946961, 116.3461439 39.9473729, 116.3461016 39.9478235, 116.3460813 39.9480479, 116.3460578 39.9482365, 116.3460391 39.9483622, 116.3459924 39.9485568)",,0
,20,109369287,34,29,,40.371296425635855,,,,railway,30,"LINESTRING (116.3316636 39.9521647, 116.3311916 39.9521347)",,0
11站台,21,109497813,95,35,,459.2214260697305,,,,railway,30,"LINESTRING (116.3455107 39.9465934, 116.3455 39.9462243, 116.345506 39.9460081, 116.3455226 39.9458136, 116.345552 39.9456525, 116.3455774 39.9454803, 116.3456249 39.9452562, 116.3456799 39.9450703, 116.3459015 39.944418, 116.3465616 39.942564)",,0
,22,109497838,2,1,,730.5265148535941,,,,railway,30,"LINESTRING (116.3480744 39.9416176, 116.3478686 39.9421982, 116.3474879 39.9432725, 116.3468586 39.9450478, 116.3466863 39.9456726, 116.3465475 39.9464259, 116.3463789 39.9473968, 116.3463221 39.9476916, 116.3462236 39.9480214)",,0
北京地铁2号线,23,114674228,119,47,,545.917385194903,,,,railway,30,"LINESTRING (116.3582 39.94471981741572, 116.3580579 39.9446758, 116.3568237 39.9443383, 116.3542242 39.9436375, 116.3521813 39.9430442)",,0
北京地铁2号线,24,114674228,47,120,,394.1948038776725,,,,railway,30,"LINESTRING (116.3521813 39.9430442, 116.3515131 39.9428831, 116.3511008 39.9427648, 116.3507839 39.9426306, 116.3505151 39.9424698, 116.3502849 39.9423005, 116.350006 39.9420597, 116.3497796 39.9418249, 116.3495985 39.9415701, 116.3494836 39.941195, 116.3494142 39.9406276, 116.349413510957 39.9406)",,0
西直门到达站台,25,115617827,14,121,,23.25550768835477,,,,railway,30,"LINESTRING (116.3467523 39.9408006, 116.346829461247 39.9406)",,0
,26,115617828,39,122,,29.00710417902515,,,,railway,30,"LINESTRING (116.3469688 39.9408501, 116.3470655422987 39.9406)",,0
西直门出发站台,27,115617829,123,13,,24.22453899580733,,,,railway,30,"LINESTRING (116.3468675939556 39.9406, 116.3467874 39.940809)",,0
西直门到达站台,28,115617830,124,12,,27.13344601708802,,,,railway,30,"LINESTRING (116.3469754922605 39.9406, 116.3468848 39.9408339)",,0
西直门出发站台,29,115617832,11,125,,26.233675794857263,,,,railway,30,"LINESTRING (116.346853 39.9408261, 116.3469408761354 39.9406)",,0
,30,120275290,43,44,,37.77923930388019,,,,railway,30,"LINESTRING (116.3521609 39.943123, 116.3525924 39.9432004)",,0
,32,120275300,42,45,,64.06171945947911,,,,railway,30,"LINESTRING (116.3573042 39.9472875, 116.3573579 39.9473297, 116.3574322 39.9473818, 116.3575165 39.9474339, 116.357607 39.9474829, 116.3577087 39.9475264, 116.3578074 39.9475621, 116.3579254 39.9476025)",,0
,33,120275301,46,41,,67.69755281398248,,,,railway,30,"LINESTRING (116.3572233 39.9473623, 116.3572958 39.9474154, 116.3573855 39.9474704, 116.357526 39.947545, 116.3576674 39.9476029, 116.3577944 39.947647, 116.3578948 39.9476783)",,0
,35,120275306,44,47,,39.11451050450017,,,,railway,30,"LINESTRING (116.3525924 39.9432004, 116.3521813 39.9430442)",,0
,37,122003018,52,56,,135.53423578425787,,,,railway,30,"LINESTRING (116.3189688 39.9412194, 116.3188088 39.9424321)",,0
,38,122003024,54,58,,135.54529859327323,,,,railway,30,"LINESTRING (116.3191616 39.9412309, 116.3190016 39.9424437)",,0
,39,122003027,53,57,,135.57849626256302,,,,railway,30,"LINESTRING (116.3190694 39.9412264, 116.318912 39.9424397)",,0
,40,122003029,55,59,,135.57849603697474,,,,railway,30,"LINESTRING (116.3192622 39.941238, 116.3191048 39.9424513)",,0
,42,122003031,69,49,,280.2517038996167,,,,railway,30,"LINESTRING (116.3189027 39.944336, 116.3187857 39.9439145, 116.3189701 39.9425057, 116.3190576 39.9418355)",,0
13号线,43,122019975,127,5,,191.6675711329686,,,,railway,30,"LINESTRING (116.3469592730457 39.9406, 116.3465728 39.9416209, 116.3463313 39.9422551)",,0
13号线,44,122019975,5,8,,21.54345342470615,,,,railway,30,"LINESTRING (116.3463313 39.9422551, 116.3462506 39.9424387)",,0
13号线,45,122019975,8,4,,52.075866158536606,,,,railway,30,"LINESTRING (116.3462506 39.9424387, 116.3460778 39.9428879)",,0
13号线,46,122019975,4,9,,32.63362380254141,,,,railway,30,"LINESTRING (116.3460778 39.9428879, 116.3459627 39.9431678)",,0
13号线,47,122019975,9,128,,1842.1231192057814,,,,railway,30,"LINESTRING (116.3459627 39.9431678, 116.3453275 39.9447884, 116.3452326 39.945034, 116.3451594 39.9452742, 116.3451114 39.945611, 116.3450934 39.9459738, 116.3451062 39.9462339, 116.3451513 39.946496, 116.3452829 39.9473161, 116.3453741 39.9478411, 116.3454673 39.9483619, 116.3454978 39.948522, 116.3455153 39.9486957, 116.345521 39.9490075, 116.3455167 39.9491573, 116.3455052 39.9493066, 116.345489 39.9494449, 116.3454604 39.9495778, 116.3453892 39.9498337, 116.3452529 39.9501592, 116.3450957 39.9504532, 116.3434819 39.9534911, 116.3426438 39.9550012, 116.3422182 39.9557639, 116.3419732 39.9562157, 116.3418051 39.9565511, 116.341539 39.9571237, 116.3413781 39.9574596, 116.3411053 39.9580021, 116.3406094840803 39.9589)",,0
13号线,48,122090416,129,10,,1821.4381436732322,,,,railway,30,"LINESTRING (116.3405578387097 39.9589, 116.3410651 39.9579884, 116.3413425 39.9574487, 116.3415004 39.9571171, 116.3417676 39.956537, 116.3419381 39.9562049, 116.3421807 39.9557528, 116.3426063 39.954985, 116.3434561 39.9534854, 116.3450766 39.9504463, 116.3452306 39.9501486, 116.3453635 39.9498233, 116.3454324 39.949577, 116.3454663 39.9494442, 116.3454843 39.9492979, 116.3454902 39.9491537, 116.3454983 39.9490064, 116.3454881 39.9486921, 116.3454694 39.9485278, 116.3454395 39.9483642, 116.3453491 39.9478412, 116.345256 39.9473183, 116.3451258 39.9465025, 116.3450814 39.946233, 116.345068 39.9459725, 116.3450799 39.9456061, 116.3451255 39.9452658, 116.3451948 39.9450213, 116.3452874 39.9447743, 116.3458438 39.9433506)",,0
13号线,49,122090416,10,6,,108.00080572833572,,,,railway,30,"LINESTRING (116.3458438 39.9433506, 116.3459797 39.942989, 116.3461391 39.9425862, 116.3462093 39.9424207)",,0
13号线,50,122090416,6,7,,21.626204750923772,,,,railway,30,"LINESTRING (116.3462093 39.9424207, 116.3462911 39.9422366)",,0
13号线,51,122090416,7,130,,188.29124022319542,,,,railway,30,"LINESTRING (116.3462911 39.9422366, 116.3464291 39.9416932, 116.3468495555854 39.9406)",,0
,52,122218246,63,62,,440.85878093920115,,,,railway,30,"LINESTRING (116.3443629 39.9564454, 116.3446103 39.9524852)",,0
