name,osm_way_id,osm_relation_id,building,amenity,geometry,centroid
北京海洋馆,25375821,,yes,,"POLYGON ((116.3342596 39.9429175, 116.3338185 39.9427223, 116.3336558 39.9430007, 116.3336197 39.9432646, 116.3337354 39.9435285, 116.3339812 39.9437455, 116.3342524 39.9438973, 116.3345995 39.9439624, 116.3349755 39.9439262, 116.3352032 39.9438359, 116.3352322 39.9438648, 116.3353117 39.9437997, 116.3355503 39.943637, 116.3357239 39.9437202, 116.3358866 39.9433405, 116.3358722 39.9430968, 116.3357935 39.943034, 116.3358349 39.942825, 116.3357651 39.9426196, 116.3356792 39.9424924, 116.3355073 39.9423861, 116.3352677 39.9423208, 116.3350261 39.9423317, 116.3347513 39.9427946, 116.3345886 39.9427802, 116.33435 39.9428235, 116.3342596 39.9429175))",POINT (116.334835450773 39.94320837092854)
Elephant House,25375829,,yes,,"POLYGON ((116.332277 39.9430087, 116.3331522 39.9430056, 116.3331483 39.9423729, 116.3330016 39.9423735, 116.3330014 39.9423434, 116.3328621 39.9423439, 116.3328619 39.9423197, 116.3324198 39.9423213, 116.3324199 39.9423455, 116.332273 39.9423461, 116.332277 39.9430087))",POINT (116.332708555524 39.94267193359191)
Hippo & Rhino House,25375838,,yes,,"POLYGON ((116.3302443 39.9430279, 116.3313477 39.9431012, 116.3315187 39.9430625, 116.3315187 39.9429669, 116.3314678 39.9428976, 116.3315472 39.9428427, 116.3316531 39.9427348, 116.3316486 39.9426861, 116.3316119 39.9426474, 116.3314691 39.942566, 116.3312563 39.9426334, 116.331175 39.9425587, 116.3312531 39.9424707, 116.3311634 39.9423528, 116.3306305 39.9423113, 116.3305462 39.9423768, 116.330661 39.9425035, 116.3305606 39.9425609, 116.330453 39.9424653, 116.3302857 39.9424892, 116.3302474 39.9425131, 116.3302443 39.9430279))",POINT (116.3308927683689 39.94274408578622)
非洲动物区,25375845,,yes,,"POLYGON ((116.3287621 39.9419914, 116.3287535 39.9419141, 116.3285533 39.9419027, 116.328476 39.9419256, 116.3284331 39.9418598, 116.3284217 39.941362, 116.3299378 39.9413849, 116.3299206 39.9415966, 116.3287621 39.9419914))",POINT (116.3290708977168 39.94160951680871)
Giraffe House,25375846,,yes,,"POLYGON ((116.3275235 39.9414966, 116.3281096 39.9415102, 116.3281228 39.9412926, 116.3275285 39.9412791, 116.3275235 39.9414966))",POINT (116.3278211756269 39.94139437498544)
畅观楼,25375855,,yes,,"POLYGON ((116.3235611 39.940269, 116.3235229 39.9406418, 116.323924 39.940659, 116.3239568 39.9402822, 116.3235611 39.940269))",POINT (116.3237414921058 39.94046346419012)
北京北站售票处,26679452,,yes,,"POLYGON ((116.3484215 39.9427877, 116.3485944 39.9427925, 116.3485873 39.9425106, 116.3484191 39.9425106, 116.3484215 39.9427877))",POINT (116.3485058264947 39.94265098426807)
北京师范大学,30784020,,,university,"POLYGON ((116.3553617 39.9568147, 116.3644357 39.956904, 116.3640335 39.9630756, 116.3630937 39.9630406, 116.363033 39.9638571, 116.3549964 39.9636552, 116.3551218 39.9613076, 116.3552463 39.9589755, 116.3553617 39.9568147))",POINT (116.3596614548752 39.96026954507062)
,51392348,,,parking,"POLYGON ((116.349219 39.9423231, 116.3489293 39.9419118, 116.3488113 39.9412784, 116.3487156 39.9412745, 116.3486075 39.9412702, 116.3484845 39.9417105, 116.3487684 39.9424382, 116.3488919 39.9424674, 116.349219 39.9423231))",POINT (116.3487914331164 39.94190532066394)
西直门,72592765,,train_station,,"POLYGON ((116.3468356 39.9413998, 116.3471239 39.9406522, 116.3474935 39.9397376, 116.347152 39.9396639, 116.3471005 39.9396513, 116.3464529 39.9413161, 116.3468356 39.9413998))",POINT (116.3469703514116 39.94052210531589)
